from,to,relation
痰喘,用石胡荽左杨汁，和酒服。,用法
螺旋草,草部,属于
螺旋草,镜面草,别名
螺旋草,辛。,性状
螺旋草,吐血、鼻血,主治
螺旋草,小儿头疮,主治
螺旋草,手指肿痛,主治
手指肿痛,用镜面草捣烂涂搽。,用法
吐血、鼻血,用镜面草，洗净。捣烂，泡酒服。,用法
小儿头疮,用镜面草晒干为末，加轻粉、麻油敷搽，有效。,用法
酢浆草,草部,属于
酢浆草,酸浆,别名
酢浆草,三叶酸,别名
酢浆草,三角酸,别名
酢浆草,酸母,别名
酢浆草,醋母,别名
酢浆草,酸箕,别名
酢浆草,鸠酸,别名
酢浆草,雀林草,别名
酢浆草,小酸茅,别名
酢浆草,赤孙施,别名
酢浆草,酸、寒、无毒。,性状
酢浆草,小便血淋,主治
酢浆草,二便不通,主治
酢浆草,赤白带下,主治
酢浆草,痔疮出血,主治
酢浆草,癣疮作痒,主治
酢浆草,牙齿肿痛,主治
牙齿肿痛,用酢浆草一把，洗净，加川椒（去核）四十九粒，同捣烂，捏成豆大小粒。每以一粒塞痛处，有效。,用法
癣疮作痒,用酢浆草涂搽，数次即愈。,用法
痔疮出血,用酢浆草一大把，加水二升，一天服三次，有效。,用法
赤白带下,用酢浆草陰干，研为末。每取三匙，空心服，温酒送下。,用法
二便不通,用酢浆草一把、车前草一把，共捣取汁，加砂糖一钱调服。不通可再服。,用法
小便血淋,用酢浆草捣汁，煎五苓散服下。,用法
地锦,草部,属于
地锦,地朕,别名
地锦,地噤,别名
地锦,夜光,别名
地锦,承夜,别名
地锦,草血竭,别名
地锦,血见愁,别名
地锦,血风草,别名
地锦,马蚁草,别名
地锦,雀儿卧单,别名
地锦,酱瓣草,别名
地锦,猢孙头草,别名
地锦,辛、平、无毒。,性状
地锦,赤白痢,主治
地锦,妇女血崩,主治
地锦,小便血淋,主治
地锦,刀伤出血不止,主治
地锦,风疮癣疥,主治
地锦,趾间鸡眼,主治
地锦,黄疸,主治
黄疸,用地锦草、羊草、桔梗、苍术各一两，甘草五钱，共研为末；另以陕西省醋二碗与皂矾四两，同熬匀后，将药末投入，再加白面适量和成丸子，如小豆大。每服三十至五十丸，空心服，醋汤送下。一天服二次。,用法
趾间鸡眼,先割破，令出血，用地锦草捣烂敷上，甚效。,用法
风疮癣疥,用血见愁草同满江红草一起捣成末，敷患处。,用法
刀伤出血不止,用地锦草捣烂涂上。,用法
小便血淋,用地锦草加水捣服。,用法
妇女血崩,用嫩地锦草蒸熟，加油、盐、姜调食，并喝一、二杯送下。又言：地锦草陰干，研为末，姜、酒调服一、二钱，一服即可止崩。,用法
赤白痢,用地锦草洗净、晒干，研为末，米汤送服一钱。,用法
陟厘,草部,属于
陟厘,侧梨,别名
陟厘,水苔,别名
陟厘,石发,别名
陟厘,石衣,别名
陟厘,水衣,别名
陟厘,水棉,别名
陟厘,潭,别名
陟厘,甘、大温、无毒。,性状
陟厘,强胃气，止泄痢,主治
丹毒游疹,捣烂可涂治,用法
昨叶何草,草部,属于
昨叶何草,甘、酸、寒、无毒。,性状
昨叶何草,小便沙淋,主治
昨叶何草,通经破血,主治
昨叶何草,头风白屑,主治
昨叶何草,汤火伤,主治
昨叶何草,恶疮,主治
恶疮,用瓦松陰干，研为末。先以槐枝、葱白汤洗净患处，然后以药末涂搽。,用法
汤火伤,用瓦松、柏叶同捣烂，敷涂。,用法
头风白屑,用瓦松晒干，浇灰淋汁热洗。六、七次后即见效。,用法
通经破血,用鲜瓦楹五两熬膏，当归须、干漆各一两，烧烟尽，当门子二钱，共研为末，加枣肉和成丸仓，如梧子大。每服七十丸，红花汤送下。,用法
小便沙淋,用瓦楹煎浓汤，乘热熏洗小竟，约两时后可以下沙通便。,用法
土马,草部,属于
土马,甘、酸、寒、无毒。,性状
土马,鼻血不止,主治
土马,二便不通,主治
土马,少年发白,主治
少年发白,用土马、石马、五倍子、半夏各一两，生姜二两，胡桃一个，胆矾半两，共研为末，并捏成一块，每次取弹子大一团，薄布包好，泡少量酒中，浸汁洗发，一月之内见特效。,用法
二便不通,用土马洗净，瓦上焙过，世细，每取二钱，加水一碗煎服。,用法
鼻血不止,用土马二钱半、黄药子五钱，共研为末。水送服二钱。服两次可止鼻血。此方名“寸金散”。,用法
卷柏,草部,属于
卷柏,万岁,别名
卷柏,长生不死草,别名
卷柏,豹足,别名
卷柏,求股,别名
卷柏,交时,别名
卷柏,辛、平、无毒。,性状
卷柏,咳逆，脱肛，淋结,主治
咳逆，脱肛，淋结,生用破血。炙用止血。,用法
石松,草部,属于
石松,苦、辛、温、无毒。,别名
石松,久患风痹，脚膝疼冷，皮肤麻木,性状
马勃,草部,属于
马勃,马批,别名
马勃,马譬,别名
马勃,灰菰,别名
马勃,牛屎菰,别名
马勃,辛、平、无毒。,性状
马勃,咽喉肿痛，不能咽物,主治
马勃,失音,主治
马勃,久咳,主治
马勃,积热吐血,主治
马勃,妊娠吐血及鼻血,主治
妊娠吐血及鼻血,用马勃研为末，浓米汤送服半钱。,用法
积热吐血,用马勃研为末，加沙糖做成丸大，如弹子大。每服半丸，冷水化下。,用法
久咳,用马勃研为末，加蜜做成丸子，如梧子大。每服二十丸，白汤送下。,用法
失音,用马勃、马牙硝，等分为末，加沙糖和成丸子，如芡子大。噙口内。,用法
咽喉肿痛，不能咽物,用马勃一分、蛇蜕一条，浇为末，棉裹一钱，含咽。,用法
柏,木部,属于
柏,侧柏,别名
柏,柏实：甘、平、无毒。柏叶：苦、微温、无毒。,性状
柏实,柏,属于
柏叶,柏,属于
柏实,平肝润肾,主治
柏实,老人便秘,主治
柏实,肠风下血,主治
柏实,小儿惊明腹满，大便青白色,主治
柏叶,中风（涎潮口噤，语言不出，手足垂）,主治
柏叶,霍乱转筋,主治
柏叶,吐血,主治
柏叶,鼻血不止,主治
柏叶,尿血,主治
柏叶,大肠下血,主治
柏叶,月经不断,主治
柏叶,汤火伤,主治
柏叶,大麻风（眉发脱落）,主治
柏叶,头发不生,主治
头发不生,用侧柏叶陰干研末，和麻油涂搽。,用法
大麻风（眉发脱落）,有侧柏叶九蒸九晒后研为末，加炼蜜做成丸子，如梧子大。每服五至十丸。白天服三次，晚间服一次。百日之后，眉中可再生。,用法
汤火伤,用柏叶生捣涂搽，二、三日后，止痛灭瘢。,用法
月经不断,用侧柏叶（炙）、芍药等分，每取三钱，加水、酒各半煎服。对未婚妇女，用侧柏叶、木（炒至微焦），等分为末。每服二钱，米汤送下。8,用法
大肠下血,用柏叶烧存性，研为还末。每服二钱，米汤送下。,用法
尿血,用柏叶、黄连焙过，研细，酒送服三钱。,用法
鼻血不止,用柏叶、榴花，共研为末，吹入鼻中。,用法
吐血,用青柏叶一把、干姜二片、阿胶一挺（炙），加水二升，煮成一程式，去渣，另加马通汁一升，再合煎为一升，滤过，一次服下。,用法
霍乱转筋,用柏叶捣烂裹脚上，另外再煎汁淋洗。,用法
中风（涎潮口噤，语言不出，手足垂）,用柏叶一把去枝，葱白一把连根研如泥，加酒一程式，煎开多次后温服。,用法
小儿惊明腹满，大便青白色,用柏子仁研为还想，温水落石出调服一钱。,用法
肠风下血,用柏子十四个，捶碎，贮布袋中，加入好酒三碗，煎至八成服下。,用法
老人便秘,用柏子仁、松子仁、大麻仁，等分同研，加蜜、蜡做成丸子，如梧子大。每服二、三十丸，饭前服，少黄丹汤调下。一天服二次。,用法
平肝润肾,延年壮神。用柏实晒干，去壳，研末。每服二钱，温酒送下。一天服三次。又方：加松子仁等分，以松脂和丸服。又方：加菊花等分，以蜜和丸服。又方：用柏子仁二斤，研为末，泡酒中成膏，加枣肉三斤，白蜜、白术末、地黄末各一斤，捣匀做成丸子，如弹子大。每嚼一丸，一日三服。,用法
丁香,木部,属于
丁香,丁子香,别名
丁香,鸡舌香,别名
丁香,辛、温、无毒。,性状
丁香,突然心气痛,主治
丁香,干霍乱（不吐不泻）,主治
丁香,小儿吐泻,主治
丁香,婴儿吐乳，粪呈青色,主治
丁香,胃冷呕逆,主治
丁香,朝食暮吐,主治
丁香,反胃，气噎不通,主治
丁香,妇女崩中,主治
丁香,妇女难产,主治
丁香,鼻中息肉,主治
丁香,唇舌生疮,主治
丁香,乳痛,主治
乳痛,用丁香研末，水送服一匙。,用法
唇舌生疮,用丁香研末，棉裹含口中。,用法
鼻中息肉,用棉裹丁香塞鼻内。,用法
妇女难产,用丁香三十六粒、乳香三钱六分，共研为末，加活兔胆同捣，作三十六丸。每服一丸，好酒化下，此方名“如意丹”。,用法
妇女崩中,用丁香二两，加酒二升，煎成一升，分次服下。,用法
反胃，气噎不通,用丁香、木香各一两，每取四钱，水煎服。,用法
朝食暮吐,用丁香十五个，研为末，加甘蔗汁、姜汁调成丸了，如莲子大，口中噙咽。,用法
胃冷呕逆,用丁香三个、陈桔皮一块（去白，焙干），水煎，乘热服。,用法
婴儿吐乳，粪呈青色,用乳汁一碗，放入丁香十枚、陈皮（去白）一钱，煎开多次后，细细送服。,用法
小儿吐泻,用丁香、桔红等分，加炼做成丸子，如黄豆大，米汤送服。如呕吐不止，可用丁香、生半夏各一钱，泡姜汁中一夜，晒干为末，以姜汁调面糊做成丸子，如黍米在。每服适量，姜汤送下。,用法
干霍乱（不吐不泻）,用丁香十四枚，研为末，开水一碗送下。不愈再服。,用法
突然心气痛,用丁香末，酒送服一钱。,用法
松,木部,属于
松,松膏,别名
松,松肪,别名
松,松胶,别名
松,松香,别名
松,沥青,别名
松,松脂：苦、甘、温、无毒。松节：苦、温、无毒。松叶：苦、温、无毒。松花：甘、温、无毒。,性状
松,关节酸疼,主治
松,肝虚目泪,主治
松,妇女白带,主治
松,风虫牙痛,主治
松,龋齿有孔,主治
松,久聋不听,主治
松,一切肿毒,主治
松,疥癣湿疮,主治
松,陰事宜湿痒,主治
松节,松,属于
松叶,松,属于
松节,关节风痛,主治
松节,转筋挛急,主治
松节,风热牙痛,主治
松节,反胃吐食,主治
松节,跌扑伤损,主治
松叶,预防瘟疫,主治
松叶,中风口邪,主治
松叶,关节风痛,主治
松叶,脚气风疮,主治
松叶,风牙肿痛,主治
松叶,大风恶疮,主治
松叶,陰囊湿痒,主治
陰囊湿痒,用松叶煎汤多洗。松花：润心肺、益气、除风、止血。,用法
大风恶疮,用松叶二斤、麻黄（去节）五两，锉细，泡酒二斗中。几日后，每次温服一小碗，服至见效为止。,用法
风牙肿痛,有松叶一把、盐一合、酒二升，共煎含漱。,用法
脚气风疮,用松叶六十斤，锉细，加水四石，煮成五斗，和米五斗照常法酿酒。七日后，取酒饮，以醉为度。,用法
关节风痛,用松叶捣汁一升，在酒在升中浸七日，每服一合。一天服三次。,用法
中风口邪,有箐松叶一斤，捣成汁，放酒中浸两宿，又在火旁取温一宿，初服半升，渐加至一升，以头面出汗为度。,用法
预防瘟疫,有松叶切细，每服一匙，酒送下，一天服三次，能防时疫。,用法
跌扑伤损,用松节煎酒服。,用法
反胃吐食,用松节煎酒细饮。,用法
风热牙痛,有油松节如枣大一块，切碎，加胡椒七个，浸热酒中，乘热再加飞过的白矾少许，即取以漱口，一、五次后见交。又方：用松节二两、槐白皮、地骨皮各一两，煎汤漱口，热漱冷吐。,用法
转筋挛急,用松节一两，锉细，加乳香一钱，慢火炒焦，出火毒，研为末，每服一、二钱，热木瓜酒调下。,用法
关节酸疼,用松脂三十斤，炼五十遍，每取三升，和炼酥三升，搅稠。每天清晨空心服一匙。一天服在次。服药期间，以面食为好。忌食血腥、生冷、酸物。百日病愈。,用法
肝虚目泪,用炼过的松脂一斤、米二斗、水七斗、曲二斗造酒频饮。,用法
妇女白带,用松香五两、酒二升，煮干，捣烂，加酒、糊做成丸子，如梧子大。每服百丸，温酒送下。,用法
风虫牙痛,把松脂在滚水中泡化，漱口，痛即止。,用法
龋齿有孔,有棉裹松脂塞孔中。,用法
久聋不听,用炼松脂三两，巴豆一两，和捣成丸，薄棉裹定塞耳中，一天二次。,用法
一切肿毒,用松香八两、铜青二钱、蓖麻仁五钱，同捣作膏，摊贴患处。,用法
疥癣湿疮,有松香研为末，加轻粉少许，先以油涂疮上，再撒上药末。几次即见效。,用法
陰事宜湿痒,用松香末卷入纸筒内，每筒加花椒三粒，油浸三日，令纸筒燃烧滴油，取油搽患处。搽油前，以淘米水把患处洗净。,用法
关节风痛,用松节（按：即松的茎干上的瘤状节）泡酒，每服一俣，一天服五、六次。,用法
杉,木部,属于
杉,杉,别名
杉,沙木,别名
杉,杉材）辛、微温、无毒。,性状
杉,脚气肿满,主治
杉,小儿陰肿,主治
小儿陰肿,用老杉木烧灰，加腻粉，调清油敷涂。杉皮：刀伤、汤火伤。取老树皮烧存性，研末敷搽。或调鸡蛋清涂搽。杉叶：风虫牙痛（同芎、细辛煎酒含漱）。,用法
脚气肿满,用杉木节一升、桔叶（切细）一升（无叶可用皮代）、大腹槟榔大一枚（连子打碎），童便三升，共煮成一升半，分两次服。若初服即见效。则不必再服。此方名“杉木汤”。,用法
桂,木部,属于
桂,筒桂,别名
桂,小筐,别名
桂,（皮）辛、温、无毒。,性状
桂,养精神，和颜色,主治
木兰,木部,属于
木兰,杜兰,别名
木兰,林兰,别名
木兰,木莲,别名
木兰,黄心,别名
木兰,（皮）苦、寒、无毒。,性状
木兰,赤疱酒、痈疽水肿，治酒疸，利小便，疗重舌,主治
辛夷,木部,属于
辛夷,辛,别名
辛夷,侯桃,别名
辛夷,房木,别名
辛夷,木笔,别名
辛夷,迎春（按：本吕为木兰的干燥花蕾）,别名
辛夷,辛、温、无毒。,性状
辛夷,鼻渊、鼻塞,主治
鼻渊、鼻塞,用辛夷研末，加麝香少许，以葱白蘸入鼻中，几次即见效。,用法
降真香【,木部,属于
木部,紫藤香,别名
降真香【,鸡骨香,别名
降真香【,辛、温、无毒。,性状
降真香【,刀伤出血,主治
降真香【,痈疽恶毒,主治
痈疽恶毒,用降真香末、枫乳香等分，团成丸子，熏患处。,用法
刀伤出血,用降真香、五倍子、铜花，等分为末，敷伤处。,用法
楠,木部,属于
楠,（楠材）辛、微温、无毒。,性状
楠,足部水肿,主治
楠,心胀腹痛，不得吐泻,主治
楠,耳出脓,主治
耳出脓,用楠木烧存性，研末敷耳内。,用法
心胀腹痛，不得吐泻,取楠木削三、四两，加水三升，煮开三次，饮服。,用法
足部水肿,削楠木、桐木煮水泡脚，并饮此水少许。每日如此，直至病愈。,用法
樟,木部,属于
樟,（樟材）辛、温、无毒。,性状
樟,干霍乱，吐不出,主治
樟,风湿痛,主治
樟,宿食不消，常吐酸水,主治
宿食不消，常吐酸水,用樟木屑，酒煎服。,用法
风湿痛,用樟木屑一斗，泡在煎至极滚的水一石中，乘热熏洗痛处。注意勿使热气入目，以免伤眼。,用法
干霍乱，吐不出,用樟木悄煎成浓汁服，即可引吐。,用法
钓樟,木部,属于
钓樟,乌樟,别名
钓樟,枕,别名
钓樟,豫,别名
钓樟,（根皮）辛、温、无毒。,性状
钓樟,刀伤止血,主治
钓樟,霍乱,主治
钓樟,脚气水肿,主治
钓樟,疮疥,主治
疮疥,研末敷涂,用法
脚气水肿,煎汤服,用法
霍乱,磨服,用法
刀伤止血,刮屑敷涂,用法
枫香脂,木部,属于
枫香脂,白胶香,别名
枫香脂,辛、苦、平、无毒。,性状
枫香脂,吐血、鼻血,主治
枫香脂,吐血、咯血,主治
枫香脂,便痈脓血,主治
枫香脂,瘰疬软疖,主治
枫香脂,疮不收口,主治
枫香脂,恶疮,主治
枫香脂,小儿疥癣,主治
枫香脂,大便不通,主治
大便不通,用白胶香如半枣大一块、鼠粪两枚，共研匀，加水调成挺子，纳入肛内，过一会即可通便。,用法
小儿疥癣,用白胶香、黄蘖、轻粉，等分为末，加羊骨髓调匀敷涂。,用法
恶疮,用白胶香、松香各一两，加麻油、黄蜡各二钱半，一起溶化，再放入冷水中充分调匀，摊贴患处。此方名“水沉金丝膏”。,用法
疮不收口,用白胶香、轻粉各二钱，猪油调涂。,用法
瘰疬软疖,用白胶香一两，化开，以蓖麻子六十四粒研末，加入搅匀，成膏后摊贴患处。,用法
便痈脓血,用白胶香一两，研为末，加麝香、轻粉少许，掺敷患处。,用法
吐血、咯血,用白胶香、铜青各一钱，研为末，放入干柿内，纸包煨熟吃下。又方：用白胶香（切片，炙黄）一两、新棉一两，烧灰为末，每服一钱，米汤送下。,用法
吐血、鼻血,用白胶香、蛤粉，等分为末，姜汁调服。,用法
熏陆香,木部,属于
熏陆香,马尾香,别名
熏陆香,天泽香,别名
熏陆香,摩勒香,别名
熏陆香,多伽罗香,别名
熏陆香,微湿、无毒。,性状
熏陆香,口目斜,主治
熏陆香,急慢惊风,主治
熏陆香,小儿双目内钓、腹痛,主治
熏陆香,心气痛,主治
熏陆香,呃逆不止,主治
熏陆香,梦遗,主治
熏陆香,血淋,主治
熏陆香,难产催生,主治
熏陆香,风虫牙痛,主治
熏陆香,漏疮脓血,主治
熏陆香,陰颈肿痛,主治
熏陆香,丹毒,主治
丹毒,用乳香研末，羊脂调涂。,用法
风虫牙痛,用乳香细嚼咽汁。又方：用乳香、川椒各一钱，共研细，化蜡和成丸子，塞病齿孔中。又方：用乳香、巴豆，等分研细，化蜡和成丸子，塞孔中。又方：用乳香、枯矾等分，化蜡和成丸子，塞孔中。,用法
难产催生,用乳香五钱，研为末，加母猪血和成丸子。如梧子大。酒冲服五丸。又方：用乳香、朱砂，等分为末，加麝香少许，酒送服一钱。,用法
血淋,取夹石的乳香研为末，米汤送服一钱。,用法
梦遗,用乳香一块，拇指大，卧时细嚼，含至三更时咽下。三、五次即见效。7,用法
呃逆不止,用乳香同硫磺烧烟频嗅。,用法
心气痛,用乳香三两、茶叶四两，共研为末，加冬季鹿血和成丸子，如弹子大。每服一丸，温醋化下。,用法
小儿双目内钓、腹痛,用乳香、没药、木香等分，水煎服。,用法
急慢惊风,用乳香半两、甘遂半两，共研为末。每服半钱，乳香汤送下。,用法
口目斜,用乳香烧烟熏病处，以顺其血脉。,用法
没药,木部,属于
没药,末药,别名
没药,苦、平、无毒。,性状
没药,关节疼痛,主治
没药,筋骨损伤,主治
没药,刀伤,主治
没药,妇女务晕,主治
没药,产后恶血,主治
产后恶血,用没药、血竭末各一钱，童便、温酒各半碗，煎开后送服。过一阵再服一次，恶血自下。,用法
妇女务晕,用没药末一钱，酒送服。,用法
刀伤,用乳香、没药各一钱，以童便半碗、酒半碗，温化服下。,用法
筋骨损伤,用米粉四两，炒黄，加入没药、乳香末各半两，酒调成膏，摊贴痛处。,用法
关节疼痛,用没药末半两、虎胫骨（酥炙，研末）三两，和匀，每服二钱，温酒调下。,用法
骐竭,木部,属于
骐竭,血竭,别名
骐竭,甘、咸、平、无毒。,性状
骐竭,白虎风（两膝热肿）,主治
骐竭,新久脚气,主治
骐竭,慢惊风,主治
骐竭,鼻血不止,主治
骐竭,刀伤出血,主治
骐竭,产后血晕（昏不识人或说胡话）,主治
骐竭,疮口不收,主治
骐竭,臁疮不愈,主治
臁疮不愈,用骐竭敷涂。,用法
疮口不收,用骐末二、三分，麝香少许，大枣（烧灰）半钱，共研为末唾液调匀涂患处。,用法
刀伤出血,用骐竭、蒲黄，等分为末，吹入鼻内。,用法
产后血晕（昏不识人或说胡话）,用骐竭一两，研为末。每服二钱，温酒送上。7,用法
鼻血不止,用骐竭、蒲黄，等分为末，吹入鼻内。,用法
慢惊风,用骐竭末半两、乳香二钱半，同捣匀，煎熔为丸子，如梧子大。每服一丸，薄荷煎汤化下（夏月则用人参汤）。,用法
新久脚气,用骐竭、乳香，等分为还想，取木瓜一个，挖一孔，放入药末，再用面包瓜，在砂锅中煮烂，连面捣成丸子，如梧子大。每服三十丸，温酒送服，忌生冷。,用法
白虎风（两膝热肿）,用骐竭、硫磺末各一两，每服一钱，温酒送下。,用法
安息香,木部,属于
安息香,辛、苦、平、无毒。,性状
安息香,突然心痛,主治
安息香,小儿肚痛,主治
安息香,关节风痛,主治
关节风痛,用精猪肉四两，切片，裹安息香二两，另以瓶装一层灰。药放灰上，在大火上（火与瓶之间隔一铜板）烧出烟，即将瓶口对痛处熏治，勿令烟散走。,用法
小儿肚痛,用安息香酒蒸成膏，另用沉香、木香、丁香、霍香、八角茴香各三钱，香附子、缩砂仁、炙甘草各五钱，共研为末，以膏和炼蜜调各药做成丸子，如芡子大。每服一丸，紫苏汤化下。此方名“安息香丸”。,用法
突然心痛,或时发时止。有安息香研为末，开水送服半钱。,用法
龙脑香,木部,属于
龙脑香,片脑,别名
龙脑香,羯婆罗香,别名
龙脑香,膏名婆律香（按：即现在通称的冰片）,别名
龙脑香,辛、苦、微寒、无毒。,性状
龙脑香,目翳,主治
龙脑香,风热上攻头目,主治
龙脑香,头脑疼痛,主治
龙脑香,风热喉痹,主治
龙脑香,中风牙闭,主治
龙脑香,牙齿疼痛,主治
龙脑香,内外痔疮,主治
内外痔疮,用龙脑香一、二分，加葱汁化匀涂搽。,用法
牙齿疼痛,用龙脑香、朱砂各少许擦牙，痛即止。,用法
中风牙闭,用龙脑香、天南星等分，每服二、三分，擦牙二、三十遍，口即可开。,用法
风热喉痹,用灯心一钱、黄蘖五分，并烧存性，白矾七分（煅过）、龙脑香三分，共研为末。每服一、二分，吹入喉中患处，有奇效。,用法
头脑疼痛,用龙脑香一钱，卷纸中作成捻子，烧烟熏鼻，吐出痰涎好愈。,用法
风热上攻头目,用龙脑末半两、南蓬砂一两，频繁两鼻孔中。,用法
目翳,用龙脑末一两，每天点眼三至五次。,用法
樟脑,木部,属于
樟脑,韶脑,别名
樟脑,辛、热、无毒。,性状
樟脑,牙齿虫痛,主治
樟脑,小儿秃疮,主治
樟脑,脚气肿痛,主治
脚气肿痛,用樟脑二两、乌头三两，共研为末，加醋、糊做成丸子，如弹子大。每次取一丸，放足心下踏住，再和微火烘脚，脚上盖覆加暖，汗出如涎，即见效。,用法
小儿秃疮,用樟脑一钱、花椒二钱、芝麻二两，共研为末涂，搽患处。,用法
牙齿虫痛,用樟脑、朱砂等分擦牙、有特效。又方：用樟脑、黄丹、肥皂（去皮核）等分研匀，加蜜调成丸子，塞病齿孔中。,用法
芦荟,木部,属于
芦荟,奴会,别名
芦荟,讷会,别名
芦荟,象胆,别名
芦荟,苦、寒、无毒。,性状
芦荟,湿癣,主治
芦荟,小儿脾疳,主治
芦荟,虫牙,主治
虫牙,用芦荟研末敷上.,用法
小儿脾疳,用芦荟、使君子，等分为末，每服一、二钱，米汤送下。,用法
湿癣,用芦荟一两、炙甘草半两，共研为末，先以温浆，水洗癣，擦干后敷上药末，有奇效。,用法
乌木,木部,属于
乌木,乌木,别名
乌木,乌文木,别名
乌木,甘、咸、平、无毒。,性状
乌木,解毒,主治
乌木,霍乱吐利,主治
解毒,取木片研为末，温酒冲服。,用法
霍乱吐利,取木片研为末，温酒冲服。,用法
苏方木,木部,属于
苏方木,苏木,别名
苏方木,甘、咸、平、无毒。,性状
苏方木,产后血晕,主治
苏方木,产后气喘，面黑欲死，是血入肺所引起,主治
苏方木,破伤风,主治
苏方木,脚气肿痛,主治
苏方木,偏坠肿痛,主治
苏方木,刀伤指断,主治
刀伤指断,用苏木末包敷，外层再用蚕茧裹牢。几天后断处即接合。,用法
偏坠肿痛,用苏木二两、好酒一壶同煮，频频饮服。,用法
脚气肿痛,用苏木、鹭鸶藤，等分锉细，加定粉少许，水煎，先熏后洗。,用法
破伤风,用苏木末三钱，酒送服。此方名“独圣散”。,用法
产后气喘，面黑欲死，是血入肺所引起,和苏木二两，加水二碗，煮成一碗，再加人参末一两服下。极效。,用法
产后血晕,用苏木三两，加水五升，煎取二升，分次服。,用法
芜荑,木部,属于
芜荑,荑,别名
芜荑,无姑,别名
芜荑,木名,别名
芜荑,辛、平、无毒。,性状
芜荑,脾胃有虫，食即痛,主治
芜荑,杀体内寄生虫,主治
芜荑,久泄，气多粪少,主治
芜荑,婴孩惊风后失声,主治
芜荑,虫牙作痛,主治
芜荑,腹中鳖瘕（平时好酒，血入于酒，则为酒鳖；平时多气，血凝于气，则为气鳖；虚劳痼冷，败血杂痰，则为血鳖。摇头掉尾，如虫之行，上侵人咽，下蚀人肛，或附胁背，或隐胸腹，大则如鳖，小或如钱）,主治
腹中鳖瘕（平时好酒，血入于酒，则为酒鳖；平时多气，血凝于气，则为气鳖；虚劳痼冷，败血杂痰，则为血鳖。摇头掉尾，如虫之行，上侵人咽，下蚀人肛，或附胁背，或隐胸腹，大则如鳖，小或如钱）,用芜荑炒过煎汤服，同时服暖胃、益血、理中的药物乃可治。若服雷丸、锡灰之类，是不会见效的。,用法
虫牙作痛,作芜荑仁放蛀齿孔中，很有效。,用法
婴孩惊风后失声,用芜荑、神曲、麦蘖、黄连各一钱，分别炒过，共研为还想，加猪胆汁调糊做成丸子。如黍米大。每服十丸，木通汤送下。,用法
久泄，气多粪少,用鞠荑五两，捣为还想，加饭做成丸子，如梧子大。每日空心于饭前服三十丸，久服能安神保健。,用法
杀体内寄生虫,用生芜荑、生槟榔各四两，研为末，加蒸饼做成丸子，如梧子大。每服二十丸，开水送下。,用法
脾胃有虫，食即痛,面黄无色。用芜荑仁二两，和面炒成黄色，研为末。每服二匙，米汤送下,用法
榆,木部,属于
榆,零榆,别名
榆,白者名粉,别名
榆,（白皮）甘、平、滑利、无毒。,性状
榆,喘不止,主治
榆,虚劳白浊,主治
榆,小便气淋（按：指小便时觉气胀面排尿困难）,主治
榆,五淋涩痛,主治
榆,口渴多尿,主治
榆,身体突然浮肿,主治
榆,早产后流血不止,主治
榆,胎死腹中或母因病欲堕胎,主治
榆,头、身长疮,主治
榆,火伤成疮,主治
榆,五色丹毒（又名游肿）,主治
榆,背疽,主治
榆,小儿瘰疬,主治
榆叶,榆,属于
榆叶,消水肿，利小便，下石淋,主治
榆叶,胆热虚劳不眠,主治
榆叶,酒鼻,主治
酒鼻,用榆叶煎汁常洗。,用法
胆热虚劳不眠,用榆叶、酸枣仁等分。加蜜做成丸子，每日服适量。,用法
消水肿，利小便，下石淋,用榆树嫩叶作汤或炒吃。,用法
小儿瘰疬,用榆白皮生捣如泥，封涂患处。经常换药。,用法
背疽,用榆根白皮，切细，清水洗净，捣至极烂，调香油敷搽，留出疮头透气。药干则以苦茶润湿，若药已不粘，须另换新调的药。,用法
五色丹毒（又名游肿）,榆白皮研为末，调鸡蛋白涂搽。,用法
火伤成疮,嚼榆白皮敷涂。,用法
头、身长疮,用榆白皮研为末，调油涂搽。,用法
胎死腹中或母因病欲堕胎,用榆白皮煮汁服二升。,用法
早产后流血不止,用榆白皮、当归（焙）各半两，加生姜水煎服。,用法
身体突然浮肿,用榆皮捣为末，同米煮粥吃，以小便能畅为效。,用法
口渴多尿,用榆皮二斤，去黑皮，加水一斗，煮成一升。每服三合，一天服三次。,用法
五淋涩痛,用榆白皮陰干、焙研，每取五我，加水五合，煎如胶，一天服二次,用法
喘不止,用榆白皮陰干，焙为末，每天清晨和晚上用末二钱、水五合，煎成胶状服下。,用法
虚劳白浊,用榆白皮二升，加水二斗，煮成五升，分五次服下。,用法
小便气淋（按：指小便时觉气胀面排尿困难）,用榆枝，石燕子煎水，每日饮服。,用法
白杨,木部,属于
白杨,独摇,别名
白杨,（木皮）苦、寒、无毒。,性状
白杨,孕痢,主治
白杨,牙前,主治
白杨,口疮,主治
白杨,瘿气,主治
瘿气,煎水酿酒,用法
口疮,煎浆水加盐含漱,用法
牙前,煎醋含漱,用法
孕痢,煎汤日饮,用法
水杨,木部,属于
水杨,青杨,别名
水杨,蒲柳,别名
水杨,蒲杨,别名
水杨,蒲多,别名
水杨,多柳,别名
水杨,蕉苻,别名
水杨,苦、平、无毒。,性状
水杨,赤白痢,主治
水杨,痘毒不发,主治
水杨,刀伤成疮,主治
水杨,乳痈,主治
乳痈,用水杨根生捣，贴疮几次即愈。,用法
